,AAPL,MSI,SBUX
913,112.71,76.11,54.43
914,112.88,75.95,54.04
915,113.09,76.32,54.19
916,113.95,76.79,53.98
917,112.18,77.21,53.45
918,113.05,76.28,54.14
919,112.52,75.25,53.84
920,113.0,74.42,53.53
921,113.05,74.35,53.35
922,113.89,74.64,53.14
923,114.06,74.48,53.46
924,116.05,74.67,53.3
925,116.3,73.5,52.92
926,117.34,73.76,53.16
927,116.98,73.06,52.95
928,117.63,73.58,53.08
929,117.55,73.13,52.76
930,117.47,73.8,52.61
931,117.12,73.8,53.15
932,117.06,73.57,53.59
933,116.6,73.62,53.63
934,117.65,74.49,54.18
935,118.25,74.16,53.67
936,115.59,73.58,53.63
937,114.48,73.48,53.59
938,113.72,72.83,53.53
939,113.54,72.58,53.07
940,111.49,72.32,52.5
941,111.59,71.57,52.98
942,109.83,71.29,51.77
943,108.84,75.9,52.75
944,110.41,77.71,54.49
945,111.06,78.56,54.62
946,110.88,78.96,54.58
947,107.79,79.19,53.57
948,108.43,80.38,53.93
949,105.71,80.6,54.22
950,107.11,81.8,54.59
951,109.99,80.51,55.44
952,109.95,80.35,55.85
953,110.06,79.98,55.77
954,111.73,79.83,56.1
955,111.8,80.31,57.12
956,111.23,80.26,57.59
957,111.79,80.98,57.43
958,111.57,80.86,57.59
959,111.46,81.11,58.17
960,110.52,80.25,57.97
961,109.49,79.19,58.51
962,109.9,79.5,57.21
963,109.11,80.92,57.5
964,109.95,82.22,57.44
965,111.03,83.27,58.76
966,112.12,83.3,58.65
967,113.95,82.79,58.75
